Index, Time, Depth_0,Depth_1,Depth_2,Depth_5,Depth_10,Depth_30
2,01-Nov-2025,-0.000000000083570453825933300243,-0.000000000048129081262323786555,-0.000000000027718134025158150081,-0.000000000005295102156899018670,-0.000000000001954163128260403079,-0.000000000000000031225810680550
3,01-Dec-2025,-0.000000000069988170922197129568,-0.000000000040414659261827137195,-0.000000000145622934827028137530,-0.000000000025302557022920032818,-0.000000000001400256919468596569,-0.000000000000000016648750800223
4,01-Jan-2026,-0.000000000061617175772235328305,-0.000000000035650837042047205587,-0.000000000053496006122745542013,-0.000000000010126808818524584869,-0.000000000000633344857392270370,-0.000000000000000010089223810566
5,01-Feb-2026,-0.000000000058016043825528707586,-0.000000000033599103474635587430,-0.000000000034247156623086861017,-0.000000000006643025873147979221,-0.000000000000431762830070462346,-0.000000000000000007693587574369
6,01-Mar-2026,-0.000000000059017555683660405248,-0.000000000034170316430130666211,-0.000000000029951616647329768940,-0.000000000005846003731764644740,-0.000000000000383797055011006739,-0.000000000000000007054534381989
7,01-Apr-2026,-0.000000000066329640972765761578,-0.000000000038334971431413656146,-0.000000000034896011414690561333,-0.000000000006762959242037780824,-0.000000000000438945190685507387,-0.000000000000000007789269981338
8,01-May-2026,-0.000000000081288324518104020709,-0.000000000046836702993519337025,-0.000000000058280990268323646147,-0.000000000011016992799818844510,-0.000000000000687010300621270588,-0.000000000000000010798986309257
9,01-Jun-2026,-0.000000000103853854139434640708,-0.000000000059625697346584459330,-0.000000000174107560816823555726,-0.000000000030459481204460876865,-0.000000000001692478248577861728,-0.000000000000000019712621326871
10,01-Jul-2026,-0.000000000125045031696384776581,-0.000000000071605347465965283522,0.000000000656148784760444171586,0.000000000192343068619211372161,0.000000000223317806956805809284,-0.000000000000000056603155827908
11,01-Aug-2026,-0.000000000133804355270724381434,-0.000000000076550432105301178196,0.000000000209885328817514260208,0.000000000043975893490708381092,0.000000000003412512826059387317,0.000000000000002107680198406423
12,01-Sep-2026,-0.000000000124015836168419842653,-0.000000000071025428038459048356,0.000000000162635381672973217461,0.000000000033335469223559693451,0.000000000002460269008550584778,0.000000000000000153095573757808
13,01-Oct-2026,-0.000000000104394937774066221926,-0.000000000059934127517143397131,0.000000000169960855223082296973,0.000000000036141021130711072715,0.000000000002881535931630689815,-0.000000000000002608649966431879
14,01-Nov-2026,-0.000000000084578780661588205020,-0.000000000048706762581881970056,0.000000000428854235135243583866,0.000000000124762451667190689553,0.000000000067929383400934459873,-0.000000000000000045042316072523
15,01-Dec-2026,-0.000000000070814653516299607071,-0.000000000040889460165921249937,-0.000000000154079614745340108664,-0.000000000026628588230725897194,-0.000000000001463432239350590675,-0.000000000000000017160317694134
16,01-Jan-2027,-0.000000000062318598738932140768,-0.000000000036054702801709816095,-0.000000000055223907085940302327,-0.000000000010441577823860804659,-0.000000000000651839765404390813,-0.000000000000000010331155529766
17,01-Feb-2027,-0.000000000058644072938857467832,-0.000000000033961240966311722726,-0.000000000035107454990396465272,-0.000000000006805844588114829688,-0.000000000000441921987903168189,-0.000000000000000007851746720276
18,01-Mar-2027,-0.000000000059614578374961186012,-0.000000000034514765119886197365,-0.000000000030596762682053468548,-0.000000000005969562194667909679,-0.000000000000391657459095387777,-0.000000000000000007184664524057
19,01-Apr-2027,-0.000000000066937693850126379609,-0.000000000038685609394696954427,-0.000000000035566242660978696960,-0.000000000006890812852504211582,-0.000000000000447029150601403097,-0.000000000000000007920947688662
20,01-May-2027,-0.000000000081974729537140922178,-0.000000000047231773097894793602,-0.000000000059345461739963946521,-0.000000000011214784516046354093,-0.000000000000699007321685472380,-0.000000000000000010972170852401
21,01-Jun-2027,-0.000000000104720010797468653917,-0.000000000060122559286479224624,-0.000000000178208191887661467915,-0.000000000031141063311021947479,-0.000000000001727645065284671212,-0.000000000000000020054439764252
22,01-Jul-2027,-0.000000000126167710260408113484,-0.000000000072247109488480125033,0.000000000640342104550055883744,0.000000000184092502953689167251,0.000000000109610957405049899064,-0.000000000000000058210785872192
23,01-Aug-2027,-0.000000000135157590530095483615,-0.000000000077322248750094814080,0.000000000210025263319891690342,0.000000000043929714104451908848,0.000000000003395331921583616977,0.000000000000001240616651688935
24,01-Sep-2027,-0.000000000125409012837266381883,-0.000000000071819974695534083035,0.000000000162943623772512568240,0.000000000033345084163553775091,0.000000000002452669934851908348,0.000000000000000145002688915073
25,01-Oct-2027,-0.000000000105637169780054152888,-0.000000000060643830106116167952,0.000000000169048196365113198548,0.000000000035841139529848920048,0.000000000002838061513528028578,0.000000000000004082832387237448
26,01-Nov-2027,-0.000000000085595830127325498411,-0.000000000049289444341570624992,0.000000000401574246910065477755,0.000000000112377327844831889541,0.000000000033385847608450743091,-0.000000000000000047445609712344
27,01-Dec-2027,-0.000000000071648028413042924412,-0.000000000041368225681238046121,-0.000000000163233318038661805352,-0.000000000028049804017032698317,-0.000000000001530310306903974066,-0.000000000000000017689786456513
28,01-Jan-2028,-0.000000000063025472750670591454,-0.000000000036461715670826006427,-0.000000000057011105618056568091,-0.000000000010766629962172759307,-0.000000000000670893094578772421,-0.000000000000000010578865565652
29,01-Feb-2028,-0.000000000059276582218107784033,-0.000000000034325974065284688708,-0.000000000035987162299340746770,-0.000000000006972241721293509872,-0.000000000000452295224603561243,-0.000000000000000008012847991188
30,01-Mar-2028,-0.000000000060337248647394932021,-0.000000000034930868327657833510,-0.000000000031314164974336055861,-0.000000000006106574020478496073,-0.000000000000400332840669578841,-0.000000000000000007326005577385
