Index, Time, Depth_0,Depth_1,Depth_2,Depth_5,Depth_10,Depth_30
2,01-Nov-2025,560.564085508664675217005424201488,324.389052048272787942551076412201,187.718513835652714760726667009294,36.377249832596504575121798552573,2.360665509292348751557710784255,0.000041865166502193414121979487
3,01-Dec-2025,560.564085737076879922824446111917,324.389052123347028100397437810898,187.718513171665279060107422992587,36.377249810762016579701594309881,2.360665509331576483731396365329,0.000041865166502193434450770221
4,01-Jan-2026,560.564085877851198347343597561121,324.389052169706985750963212922215,187.718513690483206346470979042351,36.377249827323581143900810275227,2.360665509385889038185268873349,0.000041865166502193441227033799
5,01-Feb-2026,560.564085938411153620108962059021,324.389052189673748216591775417328,187.718513798884174548220471478999,36.377249831125489265559735940769,2.360665509400165174014318836271,0.000041865166502193448003297377
6,01-Mar-2026,560.564085921568789672164712101221,324.389052184114916599355638027191,187.718513823074744095720234327018,36.377249831995293050113104982302,2.360665509403562012380461965222,0.000041865166502193448003297377
7,01-Apr-2026,560.564085798602036447846330702305,324.389052143585843168693827465177,187.718513795230109053591149859130,36.377249830994607293632725486532,2.360665509399656247779830664513,0.000041865166502193448003297377
8,01-May-2026,560.564085547043077895068563520908,324.389052060849792269436875358224,187.718513663536299418410635553300,36.377249826352105799287528498098,2.360665509382088522727372037480,0.000041865166502193441227033799
9,01-Jun-2026,560.564085167560278932796791195869,324.389051936391524577629752457142,187.718513011252554179009166546166,36.377249805134177051968435989693,2.360665509310881038373963747290,0.000041865166502193427674506643
10,01-Jul-2026,560.564084811189900392491836100817,324.389051819809481003176188096404,187.718517686887167883469373919070,36.377250048282498084972758078948,2.360665525246101736911441548727,0.000041865166502193387016925175
11,01-Aug-2026,560.564084663885068948729895055294,324.389051771685558378521818667650,187.718515173729770140198525041342,36.377249886366804787485307315364,2.360665509672416728648158823489,0.000041865166502196104298619966
12,01-Sep-2026,560.564084828497811940906103700399,324.389051825453066157933790236712,187.718514907639075772749492898583,36.377249874754724601189082022756,2.360665509604978673507957864786,0.000041865166502193644514941140
13,01-Oct-2026,560.564085158460898128396365791559,324.389051933389964688103646039963,187.718514948892902793886605650187,36.377249877816474565861426526681,2.360665509634812586625685071340,0.000041865166502190175067989186
14,01-Nov-2026,560.564085491707714936637785285711,324.389052042650973817217163741589,187.718516406865319368080236017704,36.377249974530592169230658328161,2.360665514241499174374894209905,0.000041865166502193400569452331
15,01-Dec-2026,560.564085723177981890330556780100,324.389052118726397111458936706185,187.718513124041038508948986418545,36.377249809314896822343143867329,2.360665509327102284942156984471,0.000041865166502193434450770221
16,01-Jan-2027,560.564085866055393125861883163452,324.389052165776661240670364350080,187.718513680752437267074128612876,36.377249826980069258297589840367,2.360665509384579419105421038694,0.000041865166502193441227033799
17,01-Feb-2027,560.564085927849646395770832896233,324.389052186149569934059400111437,187.718513794039353115294943563640,36.377249830947803843628207687289,2.360665509399445749494361734833,0.000041865166502193448003297377
18,01-Mar-2027,560.564085911528763972455635666847,324.389052180762860189133789390326,187.718513819441568557522259652615,36.377249831860453355147910770029,2.360665509403005124511309986701,0.000041865166502193448003297377
19,01-Apr-2027,560.564085788376473828975576907396,324.389052140173532734479522332549,187.718513791455649197814636863768,36.377249830855078016611514613032,2.360665509399083816788333933800,0.000041865166502193448003297377
20,01-May-2027,560.564085535499771140166558325291,324.389052057005073947948403656483,187.718513657541677730478113517165,36.377249826136250021590967662632,2.360665509381238980068928867695,0.000041865166502193441227033799
21,01-Jun-2027,560.564085152994152849714737385511,324.389051931556195995653979480267,187.718512988159602628002176061273,36.377249804390352494465332711115,2.360665509308390586085124596138,0.000041865166502193427674506643
22,01-Jul-2027,560.564084792309927252063062041998,324.389051813564037729520350694656,187.718517597870970803342061117291,36.377250039278514748275483725592,2.360665517193386797600851423340,0.000041865166502193380240661597
23,01-Aug-2027,560.564084641127806207805406302214,324.389051764174496383930090814829,187.718515174517818877575336955488,36.377249886316405991237843409181,2.360665509671199924213169651921,0.000041865166502195013320183903
24,01-Sep-2027,560.564084805068887362722307443619,324.389051817720769577135797590017,187.718514909374960097920848056674,36.377249874765219317396258702502,2.360665509604440437385619588895,0.000041865166502193637738677562
25,01-Oct-2027,560.564085137570373262860812246799,324.389051926483375609677750617266,187.718514943753206125620636157691,36.377249877489205687197681982070,2.360665509631733716133794587222,0.000041865166502198584411089527
26,01-Nov-2027,560.564085474604098635609261691570,324.389052036980501725338399410248,187.718516253236543889215681701899,36.377249961014484824772807769477,2.360665511795127180505460273707,0.000041865166502193393793188753
27,01-Dec-2027,560.564085709163123283360619097948,324.389052114067226284532807767391,187.718513072491447246648021973670,36.377249807763902822443924378604,2.360665509322366073519106066669,0.000041865166502193434450770221
28,01-Jan-2028,560.564085854167956313176546245813,324.389052161815754971030401065946,187.718513670687713101870031096041,36.377249826625330797469359822571,2.360665509383229831996686698403,0.000041865166502193441227033799
29,01-Feb-2028,560.564085917212764798023272305727,324.389052182600096330133965238929,187.718513789085221787900081835687,36.377249830766210436649998882785,2.360665509398710781852059881203,0.000041865166502193448003297377
30,01-Mar-2028,560.564085899375641020014882087708,324.389052176713448716327548027039,187.718513815401479405409190803766,36.377249831710933847261912887916,2.360665509402390949134087350103,0.000041865166502193448003297377
31,01-Apr-2028,560.564085771893019227718468755484,324.389052134700023088953457772732,187.718513785529268034224514849484,36.377249830638476169042405672371,2.360665509398212069669398260885,0.000041865166502193441227033799
32,01-May-2028,560.564085513100508251227438449860,324.389052049594113213970558717847,187.718513643021992720605339854956,36.377249825624978996074787573889,2.360665509379301418846353044501,0.000041865166502193441227033799
